Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,SetosaScore,VersicolorScore,VirginicaScore
93,7.7,3.0,6.1,2.3,-0.0320384471548168,0.0564490626484904,0.9827199708751012
94,6.5,3.0,5.2,2.0,0.1763317760417899,-0.061714798548702,0.9097798929395042
95,5.9,3.0,4.2,1.5,0.0418919544982185,0.8073590301935869,-0.1309853112435904
96,6.5,3.0,5.8,2.2,-0.0437032604014487,-0.0786703735037903,0.9431167635826112
97,4.7,3.2,1.6,0.2,0.8676879298925597,0.1095637378745117,-0.0064477685665378
98,6.9,3.2,5.7,2.3,0.1072460796600124,0.1670780794130501,1.1689955753644052
99,5.1,3.7,1.5,0.4,1.0197582088114183,-0.1018175043788015,-0.099667569607975
100,4.9,2.4,3.3,1.0,-0.1493713152053677,0.9549286346950614,0.1592019719128063
101,5.4,3.0,4.5,1.5,-0.1145274968763347,1.130307670533982,0.0740211856914433
102,6.3,3.3,4.7,1.6,-0.1353753197158065,0.9437231390910136,0.1350942701351666
103,6.4,2.8,5.6,2.2,-0.0251907693310756,-0.0437947290783058,1.0924166032728575
104,5.7,2.9,4.2,1.3,0.0763492748251583,0.9260338773168002,-0.1379818257238714
105,6.8,3.2,5.9,2.3,-0.1317105628678339,-0.1811058234233135,0.813597697112051
106,5.6,2.8,4.9,2.0,-0.004685198044348,-0.0755049939169262,1.1744286875272842
107,6.0,2.2,5.0,1.5,-0.0705841371914731,0.0105204172024593,0.8718757707777068
108,7.2,3.0,5.8,1.6,-0.1173213799465178,0.1061098862187658,1.0905260012738631
109,5.1,3.5,1.4,0.2,1.061697553986844,-0.1347406752357564,0.034643333477482
110,5.6,2.7,4.2,1.3,0.0466693619464191,1.0412613748963078,-0.1709905720768656
111,5.5,2.6,4.4,1.2,0.1225783225033269,1.0584115552795046,-0.0449515881354626
112,6.5,3.2,5.1,2.0,-0.0032640601995218,0.1442210946534309,1.14491341525437
113,4.8,3.4,1.9,0.2,1.1035365952812983,0.0271896839294564,0.0314291857861329
114,6.1,3.0,4.9,1.8,0.118465297960588,0.044711084046022,1.096355043477422
115,6.5,3.0,5.5,1.8,-0.1199838571504382,-0.0297175780807104,1.0083288139799078
116,6.4,2.9,4.3,1.3,-0.0519692132765491,1.1520522243041444,0.0415192418140787
117,5.0,2.0,3.5,1.0,0.1853917582418211,0.9093780163787172,0.0378720007208777
118,5.0,3.4,1.5,0.2,1.197964118373978,-0.055052937714512,0.1415349146188215
119,6.4,2.8,5.6,2.1,0.1716081598887586,-0.1915665891416068,0.9312858925686412
120,4.5,2.3,1.3,0.3,1.159899222050892,0.0702590764051925,-0.1324723248702196
121,6.1,2.9,4.7,1.4,-0.0359734052543755,1.013862895028379,0.094849380512035
122,5.7,4.4,1.5,0.4,0.9065998657985834,0.1916364717716059,0.0979719765356926
123,6.0,2.7,5.1,1.6,-0.1429796300812139,0.9991864094007408,0.0124724818163196
124,6.1,2.6,5.6,1.4,0.186117434349616,0.068292904111445,1.0122621051823042
125,5.4,3.7,1.5,0.2,0.9944452568613432,0.1203592095847903,0.1256976948766376
126,5.0,3.0,1.6,0.2,1.163764116745524,0.0223488513253273,0.0464243874262798
127,5.2,3.4,1.4,0.2,1.130379323569227,0.0814411002274841,-0.1959285875048088
128,5.1,3.4,1.5,0.2,1.1033097312872104,-0.1464586043829983,-0.020746534611583
129,4.9,3.0,1.4,0.2,0.8782933195354855,0.0053244740606518,0.1495283699196965
130,5.7,2.8,4.1,1.3,-0.1411016472632759,0.8158385667675871,0.1168391523529006
131,6.8,3.0,5.5,2.1,-0.1341262751481456,-0.0349955755597462,0.9403106761433332
132,5.4,3.4,1.7,0.2,1.1910175537642544,-0.1529561930394684,-0.1532288148643812
133,4.6,3.1,1.5,0.2,0.9081425330291714,-0.1196533840713124,0.0825836888061491
134,5.7,2.5,5.0,2.0,-0.0810770395803771,0.1527693833911902,1.128130503489884
135,5.8,2.7,3.9,1.2,0.0003211500515434,0.8600998995309812,-0.0952230850112841
136,4.8,3.4,1.6,0.2,1.0376108782706446,-0.0343260444571286,0.0670677282094396
137,6.7,3.1,4.7,1.5,-0.173366747066997,1.0657524124520614,-0.0604295144455152
138,6.7,3.0,5.0,1.7,0.0718975817689637,0.9870163664763872,-0.0397671055018517
139,6.7,2.5,5.8,1.8,-0.1428181009443974,-0.1938608311257316,1.1579887473877124
140,6.9,3.1,4.9,1.5,-0.0917889685134562,1.0105529909879638,-0.1488184168444308
141,4.8,3.0,1.4,0.1,0.9645000166436688,0.1676298714742071,-0.1793050917860594
142,4.4,3.0,1.3,0.2,0.9810517145573462,-0.1023610279230615,-0.1176790939259871
143,6.1,2.8,4.0,1.3,-0.1415645955024968,0.9645393067240572,0.0333876141225479
144,5.2,3.5,1.5,0.2,1.1714319858158355,-0.0156471648872381,-0.1322589984783856
145,6.7,3.3,5.7,2.1,0.1989588235883998,0.190787407752421,1.108424884349284
146,4.4,3.2,1.3,0.2,0.9535481750748876,-0.1663442963985587,-0.0588036363225219
147,5.0,3.3,1.4,0.2,1.1050425582001235,0.1345345157160499,-0.1230272086295686
148,5.8,2.7,4.1,1.0,-0.0260476639260659,0.9307787629140364,0.029497437970075
149,5.1,3.3,1.7,0.5,1.1120315750146434,-0.1483178585928569,0.1921296211363273
150,4.8,3.1,1.6,0.2,1.166871169293573,-0.0275306923974353,0.0569335021586228
